6005 0 17 102.67 33.99
9997 0 . . .
6009 1 20 96.74 45.56
7197 . 20 92.2 30.04
6026 2 19 95.33 0
6027 0 . 63.73 .
9997 0 . . .
5569 0 14 58.49 .
2 1 18 94.96 47.45
7 1 20 108.46 2.58
6028 0 19 117.31 13.75
6027 1 . 97.18 .
9997 0 . . .
2 0 18 97.74 47.45
2 0 16 93.07 47.45
2 1 16 74.55 47.45
2 0 16 86.1 47.45
2 1 18 63.1 47.45
2 1 16 75.71 47.45
2 0 17 91.31 47.45
2 1 16 80.4 47.45
2 1 18 99.22 47.45
2 0 16 103.02 47.45
2 1 18 98.36 47.45
2 1 18 74.13 47.45
5 1 11 78.36 88.57
5 . 10 76.59 88.57
5 0 10 84.93 88.57
5 . 10 68.85 88.57
5 0 11 72.34 88.57
5 0 18 64.76 88.57
5 2 18 45.7 88.57
5 1 . 35.69 88.57
5 . 11 77.56 88.57
6028 2 . 96.67 13.75
6 0 . 65.04 .
6 1 22 93.36 .
6 0 23 113.68 .
6 1 22 98.89 .
6 2 . 82.01 .
6 0 23 78.16 .
6 1 22 82.1 .
6 1 22 49.81 .
6 1 . 95.28 .
6 1 23 109.69 .
6 1 . 91.99 .
6 2 22 . .
7 1 20 88.69 2.58
7 0 20 108.82 2.58
7 1 20 74.67 2.58
7 1 20 81.11 2.58
7 1 20 66.19 2.58
7 . 20 81.31 2.58
7 0 20 111.7 2.58
7 1 20 91.63 2.58
7 . 19 91.36 2.58
7 0 20 104.32 2.58
7 0 20 98.27 2.58
7 0 25 108.19 2.58
7 0 20 101.44 2.58
7 2 20 102.64 2.58
9 1 18 66.89 .
9 0 18 70.26 .
9 1 18 72.7 .
9 1 20 84.12 .
9 1 19 53.39 .
9 1 18 68.91 .
7065 0 . 89.78 47.86
7065 1 . 95.16 47.86
9 0 18 . .
7065 2 . 71.53 47.86
9 1 18 102.74 .
9 1 18 81.28 .
9 5 18 90.3 .
9 2 19 55.56 .
9 0 18 43.78 .
9 0 16 52.45 .
9997 1 . . .
9 1 20 110.87 .
9 2 18 97.88 .
9 . 19 . .
9 1 18 70.57 .
10 2 13 62 37.07
6009 3 25 97.13 45.56
7198 0 15 94.26 28.63
10 1 15 92.3 37.07
9997 1 . . .
11 2 18 73.5 13.29
10 1 13 74.07 37.07
10 0 17 43.72 37.07
6028 2 . 89.24 13.75
10 1 18 64.39 37.07
10 0 13 78.48 37.07
5729 . . 80.99 .
9997 1 . . .
9997 2 . . .
10 0 13 80.69 37.07
10 1 15 65.72 37.07
6027 0 . 71.18 .
10 1 13 107.02 37.07
10 . 15 96.73 37.07
10 2 15 58.55 37.07
9997 1 . . .
10 0 15 78.24 37.07
9997 1 . . .
10 . 17 67.59 37.07
9997 2 . . .
11 1 18 92.99 13.29
11 1 18 104.38 13.29
11 1 18 103.78 13.29
11 0 18 86.09 13.29
11 1 18 94.7 13.29
11 1 18 80.38 13.29
11 1 18 72.94 13.29
11 2 18 73.11 13.29
11 1 18 85.43 13.29
11 2 18 80.83 13.29
11 1 18 112.24 13.29
11 1 18 83.27 13.29
11 1 18 101.14 13.29
11 0 18 75.61 13.29
11 1 18 83.16 13.29
11 1 18 100.76 13.29
11 2 18 68.95 13.29
11 . 14 64.92 13.29
11 1 18 82.79 13.29
11 1 18 108.47 13.29
4075 0 . 94.78 .
4075 1 . 106.6 .
5219 1 . 86.99 .
4075 0 . 99.29 .
7953 0 30 90.09 18.49
5219 0 . 116.88 .
20 0 15 88.4 20.52
14 1 . 100.33 60.27
14 1 . 66.95 60.27
14 0 . 90.56 60.27
7198 . 15 93.72 28.63
15 1 19 98.29 43.94
15 0 16 55.69 43.94
9997 2 . . .
15 0 19 90.1 43.94
5241 1 16 71.77 39.13
9997 3 . . .
15 . 19 63.83 43.94
7368 2 22 105.86 4.64
17 0 . 113.39 .
9997 1 . . .
15 0 19 87.86 43.94
5457 1 21 99.62 .
8127 . 13 43.88 37.23
9997 2 . . .
15 2 19 104.29 43.94
15 1 19 90.94 43.94
7369 1 21 40.36 42.3
6335 . 16 49.47 22.83
15 2 15 59.87 43.94
29 . . 75.91 26.14
15 1 19 88.36 43.94
15 1 19 101.81 43.94
16 1 10 104.6 47.62
16 1 10 55.65 47.62
16 1 . 37.12 47.62
16 2 10 48.77 47.62
20 0 14 65.84 20.52
20 0 14 80.05 20.52
20 1 15 96.66 20.52
20 1 15 55.54 20.52
20 . 14 79.7 20.52
20 . 14 72.89 20.52
20 1 14 86.78 20.52
20 . 15 66.82 20.52
20 1 14 89.52 20.52
